2022-07-09 21:53:01 [main] INFO  baseTest:26 - ----------------------------Creating a card----------------------------
2022-07-09 21:53:03 [main] INFO  baseTest:43 - --------------------------Updating a card-------------------------------
2022-07-09 21:53:03 [main] INFO  baseTest:26 - -------------------Inside get cell data method--------------------
2022-07-09 21:53:04 [main] INFO  baseTest:56 - ----------------------------get a card-------------------------------
2022-07-09 21:53:05 [main] INFO  baseTest:66 - ----------------------------Create a new label------------------------------
2022-07-09 21:53:05 [main] INFO  baseTest:26 - -------------------Inside get cell data method--------------------
2022-07-09 21:53:05 [main] INFO  baseTest:83 - ----------------------------Delete Label-----------------------------
2022-07-09 21:53:06 [main] INFO  baseTest:97 - -----------------------------Delete card------------------------------
2022-07-09 21:53:07 [main] INFO  baseTest:24 - ---------------------------Creating a board--------------------------
2022-07-09 21:53:07 [main] INFO  baseTest:26 - -------------------Inside get cell data method--------------------
2022-07-09 21:53:07 [main] INFO  baseTest:42 - ---------------------------Updating a board----------------------------
2022-07-09 21:53:07 [main] INFO  baseTest:26 - -------------------Inside get cell data method--------------------
2022-07-09 21:53:08 [main] INFO  baseTest:56 - ---------------------------Get a board------------------------------
2022-07-09 21:53:09 [main] INFO  baseTest:67 - --------------------------Delete a board---------------------------
2022-07-09 21:53:10 [main] INFO  baseTest:26 - -----------------------------Creating Checklist----------------------------
2022-07-09 21:53:10 [main] INFO  baseTest:26 - -------------------Inside get cell data method--------------------
2022-07-09 21:53:10 [main] INFO  baseTest:43 - -----------------------------Update CheckList------------------------------
2022-07-09 21:53:10 [main] INFO  baseTest:26 - -------------------Inside get cell data method--------------------
2022-07-09 21:53:11 [main] INFO  baseTest:57 - ----------------------------get checklist--------------------------------
2022-07-09 21:53:12 [main] INFO  baseTest:67 - -----------------------------Get the card checklist is on------------------------------
2022-07-09 21:53:12 [main] INFO  baseTest:26 - -------------------Inside get cell data method--------------------
2022-07-09 21:53:12 [main] INFO  baseTest:82 - -----------------------------Delete a Checklist-----------------------------
